1f801cbe	VOICE_0b_ADPCM_REPEAT_ADDR
1f801cc0	VOICE_0c_LEFT_RIGHT
1f801cc4	VOICE_0c_ADPCM_SAMPLE_RATE
1f801cc6	VOICE_0c_ADPCM_START_ADDR
1f801cc8	VOICE_0c_ADSR_ATT_DEC_SUS_REL
1f801ccc	VOICE_0c_ADSR_CURR_VOLUME
1f801cce	VOICE_0c_ADPCM_REPEAT_ADDR
1f801cd0	VOICE_0d_LEFT_RIGHT
1f801cd4	VOICE_0d_ADPCM_SAMPLE_RATE
1f801cd6	VOICE_0d_ADPCM_START_ADDR
1f801cd8	VOICE_0d_ADSR_ATT_DEC_SUS_REL
1f801cdc	VOICE_0d_ADSR_CURR_VOLUME
1f801cde	VOICE_0d_ADPCM_REPEAT_ADDR
1f801ce0	VOICE_0e_LEFT_RIGHT
1f801ce4	VOICE_0e_ADPCM_SAMPLE_RATE
1f801ce6	VOICE_0e_ADPCM_START_ADDR
1f801ce8	VOICE_0e_ADSR_ATT_DEC_SUS_REL
1f801cec	VOICE_0e_ADSR_CURR_VOLUME
1f801cee	VOICE_0e_ADPCM_REPEAT_ADDR
1f801cf0	VOICE_0f_LEFT_RIGHT
1f801cf4	VOICE_0f_ADPCM_SAMPLE_RATE
1f801cf6	VOICE_0f_ADPCM_START_ADDR
1f801cf8	VOICE_0f_ADSR_ATT_DEC_SUS_REL
1f801cfc	VOICE_0f_ADSR_CURR_VOLUME
1f801cfe	VOICE_0f_ADPCM_REPEAT_ADDR
1f801d00	VOICE_10_LEFT_RIGHT
1f801d04	VOICE_10_ADPCM_SAMPLE_RATE
1f801d06	VOICE_10_ADPCM_START_ADDR
1f801d08	VOICE_10_ADSR_ATT_DEC_SUS_REL
1f801d0c	VOICE_10_ADSR_CURR_VOLUME
1f801d0e	VOICE_10_ADPCM_REPEAT_ADDR
1f801d10	VOICE_11_LEFT_RIGHT
1f801d14	VOICE_11_ADPCM_SAMPLE_RATE
1f801d16	VOICE_11_ADPCM_START_ADDR
1f801d18	VOICE_11_ADSR_ATT_DEC_SUS_REL
1f801d1c	VOICE_11_ADSR_CURR_VOLUME
1f801d1e	VOICE_11_ADPCM_REPEAT_ADDR
1f801d20	VOICE_12_LEFT_RIGHT
1f801d24	VOICE_12_ADPCM_SAMPLE_RATE
1f801d26	VOICE_12_ADPCM_START_ADDR
1f801d28	VOICE_12_ADSR_ATT_DEC_SUS_REL
1f801d2c	VOICE_12_ADSR_CURR_VOLUME
1f801d2e	VOICE_12_ADPCM_REPEAT_ADDR
1f801d30	VOICE_13_LEFT_RIGHT
1f801d34	VOICE_13_ADPCM_SAMPLE_RATE
1f801d36	VOICE_13_ADPCM_START_ADDR
1f801d38	VOICE_13_ADSR_ATT_DEC_SUS_REL
1f801d3c	VOICE_13_ADSR_CURR_VOLUME
1f801d3e	VOICE_13_ADPCM_REPEAT_ADDR
1f801d40	VOICE_14_LEFT_RIGHT
1f801d44	VOICE_14_ADPCM_SAMPLE_RATE
1f801d46	VOICE_14_ADPCM_START_ADDR
1f801d48	VOICE_14_ADSR_ATT_DEC_SUS_REL
1f801d4c	VOICE_14_ADSR_CURR_VOLUME
1f801d4e	VOICE_14_ADPCM_REPEAT_ADDR
1f801d50	VOICE_15_LEFT_RIGHT
1f801d54	VOICE_15_ADPCM_SAMPLE_RATE
1f801d56	VOICE_15_ADPCM_START_ADDR
1f801d58	VOICE_15_ADSR_ATT_DEC_SUS_REL
1f801d5c	VOICE_15_ADSR_CURR_VOLUME
1f801d5e	VOICE_15_ADPCM_REPEAT_ADDR
1f801d60	VOICE_16_LEFT_RIGHT
1f801d64	VOICE_16_ADPCM_SAMPLE_RATE
1f801d66	VOICE_16_ADPCM_START_ADDR
1f801d68	VOICE_16_ADSR_ATT_DEC_SUS_REL
1f801d6c	VOICE_16_ADSR_CURR_VOLUME
1f801d6e	VOICE_16_ADPCM_REPEAT_ADDR
1f801d70	VOICE_17_LEFT_RIGHT
1f801d74	VOICE_17_ADPCM_SAMPLE_RATE
1f801d76	VOICE_17_ADPCM_START_ADDR
1f801d78	VOICE_17_ADSR_ATT_DEC_SUS_REL
1f801d7c	VOICE_17_ADSR_CURR_VOLUME
1f801d7e	VOICE_17_ADPCM_REPEAT_ADDR
1f801d80	SPU_MAIN_VOL_L
1f801d82	SPU_MAIN_VOL_R
1f801d84	SPU_REVERB_OUT_L
1f801d86	SPU_REVERB_OUT_R
1f801d88	SPU_VOICE_KEY_ON
1f801d8c	SPU_VOICE_KEY_OFF
1f801d90	SPU_VOICE_CHN_FM_MODE
1f801d94	SPU_VOICE_CHN_NOISE_MODE
1f801d98	SPU_VOICE_CHN_REVERB_MODE
1f801d9c	SPU_VOICE_CHN_ON_OFF_STATUS
1f801da0	SPU_UNKN_1DA0
1f801da2	SOUND_RAM_REVERB_WORK_ADDR
1f801da4	SOUND_RAM_IRQ_ADDR
1f801da6	SOUND_RAM_DATA_TRANSFER_ADDR
1f801da8	SOUND_RAM_DATA_TRANSFER_FIFO
1f801daa	SPU_CTRL_REG_CPUCNT
1f801dac	SOUND_RAM_DATA_TRANSTER_CTRL
1f801dae	SPU_STATUS_REG_SPUSTAT
1f801db0	CD_VOL_L
1f801db2	CD_VOL_R
1f801db4	EXT_VOL_L
1f801db6	EXT_VOL_R
1f801db8	CURR_MAIN_VOL_L
1f801dba	CURR_MAIN_VOL_R
1f801dbc	SPU_UNKN_1DBC
800102ec	switchdataD_800102ec
80010324	switchdataD_80010324
8001037c	switchdataD_8001037c
800103ac	switchdataD_800103ac
800103dc	switchdataD_800103dc
800103fc	switchdataD_800103fc
8001042c	switchdataD_8001042c
8001045c	switchdataD_8001045c
80010474	switchdataD_80010474
800104fc	switchdataD_800104fc
8001052c	switchdataD_8001052c
8001054c	switchdataD_8001054c
8001057c	switchdataD_8001057c
800105e4	switchdataD_800105e4
80010624	switchdataD_80010624
8001063c	switchdataD_8001063c
80010654	switchdataD_80010654
80010840	switchdataD_80010840
80010908	switchdataD_80010908
80010a9c	switchdataD_80010a9c
80010ac4	switchdataD_80010ac4
80010af8	StageConfig
80010ec0	switchdataD_80010ec0
80010fb0	switchdataD_80010fb0
80010fc8	switchdataD_80010fc8
80011838	switchdataD_80011838
80011858	switchdataD_80011858
800118f4	switchdataD_800118f4
80011940	switchdataD_80011940
80011cf8	switchdataD_80011cf8
80011d20	switchdataD_80011d20
800125f8	switchdataD_800125f8
80012978	switchdataD_80012978
80012a28	switchdataD_80012a28
80012ac8	switchdataD_80012ac8
80012b48	switchdataD_80012b48
80012bb8	switchdataD_80012bb8
80012bd8	switchdataD_80012bd8
80012bf8	switchdataD_80012bf8
80012c18	switchdataD_80012c18
80012c60	switchdataD_80012c60
80012de0	switchdataD_80012de0
80012ea0	switchdataD_80012ea0
80013218	switchdataD_80013218
80013330	switchdataD_80013330
800134a8	switchdataD_800134a8
80013528	switchdataD_80013528
800135d8	switchdataD_800135d8
80014708	DEAD_80014708
80014b0c	DEAD_80014b0c
80015124	DEAD_80015124
80015848	DEAD_80015848
80015d68	DEAD_80015d68
800162a8	DEAD_800162a8
80016444	DEAD_80016444
80016480	DEAD_80016480
800165a4	DEAD_800165a4
80016700	DEAD_80016700
80016d04	DepthPoint
80016d08	SlightPoint
80016d0c	DrawTMDmode
80016d10	XXXSetDQA_DQB
80016dc8	DEAD_80016dc8
80016ef0	DEAD_80016ef0
80017048	DEAD_80017048
80017190	DEAD_80017190
80017318	DEAD_80017318
80017458	DEAD_80017458
800175c8	DEAD_800175c8
80017734	DEAD_80017734
800178e0	DEAD_800178e0
80017a24	DEAD_80017a24
80017b98	DEAD_80017b98
80017d10	DEAD_80017d10
80017ec8	DEAD_80017ec8
80018024	DEAD_80018024
800181b0	DEAD_800181b0
8001834c	DEAD_8001834c
8001bcc4	caseD_0
8001bcc4	caseD_6
8001bcc4	caseD_7
8001bcc4	caseD_9
8001bcc4	caseD_c
8001bcc4	caseD_d
8001bd00	switchD
8001bd08	caseD_1
8001bd08	caseD_2
8001bd08	caseD_3
8001bd08	caseD_4
8001bd08	caseD_5
8001bd08	caseD_8
8001bd08	caseD_a
8001bd08	caseD_b
8001c9cc	switchD
8001c9d4	caseD_1
8001c9e0	caseD_0
8001c9e0	caseD_13
8001ca54	caseD_12
8001cac4	caseD_14
8001caf0	caseD_3
8001caf0	caseD_5
8001cbe0	caseD_10
8001cbe0	caseD_11
8001cbe0	caseD_15
8001cbe0	caseD_2
8001cbe0	caseD_4
8001cbe0	caseD_6
8001cbe0	caseD_7
8001cbe0	caseD_8
8001cbe0	caseD_9
8001cbe0	caseD_a
8001cbe0	caseD_b
8001cbe0	caseD_c
8001cbe0	caseD_d
8001cbe0	caseD_e
8001cbe0	caseD_f
8001e3ac	DEAD_8001e3ac
8001e440	DEAD_8001e440
8001e4e8	DEAD_8001e4e8
8001e5b8	DEAD_8001e5b8
8001e5f4	switchD
8001e5fc	caseD_2
8001e604	caseD_1
8001e60c	caseD_3
8001e614	caseD_6
8001e61c	caseD_5
8001e624	caseD_7
8001e63c	caseD_0
8001e63c	caseD_b
8001e658	caseD_4
8001e658	caseD_8
8001e658	caseD_9
8001e658	caseD_a
8001e67c	DEAD_8001e67c
8001e980	switchD
8001e988	caseD_2
8001e990	caseD_1
8001e998	caseD_3
8001e9a0	caseD_6
8001e9a8	caseD_5
8001e9b0	caseD_7
8001e9b8	caseD_0
8001e9b8	caseD_b
8001e9d4	caseD_4
8001e9d4	caseD_8
8001e9d4	caseD_9
8001e9d4	caseD_a
8001ea48	DEAD_8001ea48
8001ea8c	switchD
8001ea94	caseD_1
8001eb04	caseD_4
8001eb04	caseD_5
8001eba4	caseD_0
8001ec88	caseD_6
8001ecdc	caseD_2
8001ecdc	caseD_3
8001ed6c	DEAD_8001ed6c
8001efa8	switchD
8001efb0	caseD_2
8001efb8	caseD_1
8001efc0	caseD_3
8001efc8	caseD_6
8001efd0	caseD_5
8001efd8	caseD_7
8001efe0	caseD_0
8001efe0	caseD_b
8001effc	caseD_4
8001effc	caseD_8
8001effc	caseD_9
8001effc	caseD_a
8001f058	DEAD_8001f058
8001f4a0	switchD
8001f4a8	caseD_2
8001f4b0	caseD_1
8001f4b8	caseD_3
8001f4c0	caseD_6
8001f4c8	caseD_5
8001f4d0	caseD_7
8001f4e8	caseD_0
8001f4e8	caseD_b
8001f504	caseD_4
8001f504	caseD_8
8001f504	caseD_9
8001f504	caseD_a
8001f530	DEAD_8001f530
8001fcc8	DEAD_8001fcc8
8001fd0c	switchD
8001fd14	caseD_1
8001fdf8	caseD_4
