# Global/data names adopted in config/symbols.main.exe.txt.
# datamatch     = reference alignment inside functions named on both sides
#                 (tools/datamatch.py; 100% control precision on 105 addrs)
# datamatch-reloc = the same reference alignment after inferring PSX.SYM data
#                   -> demo PSX.EXE data relocation from 323/323 unique anchors;
#                   raw reverse uniqueness and duplicate-static TU checks apply.
# ghidra-export = already named in the Ghidra program for THIS binary but
#                 never adopted, because import_symbols could only rename
#                 existing entries, not define new ones.
# The historical ghidra-export batch also contains address-keyed SDK/text labels;
# the source column records provenance rather than asserting storage section.
#addr	name	source	evidence	storage	type
80083f34	PadEnableCom	ghidra-export	same binary, address-keyed	?	?
80084c40	_padSetCmd	ghidra-export	same binary, address-keyed	?	?
80086764	UnitVector2	ghidra-export	same binary, address-keyed	EXT	struct VECTOR
80086774	RefrectVector	datamatch	VOTES4	EXT	short [16]
80086794	RefrectMove	ghidra-export	same binary, address-keyed	EXT	short [16][2]
800867d4	direction	ghidra-export	same binary, address-keyed	?	?
8008686c	Command	datamatch	VOTES2	STAT	unsigned short *[12]
80086b7c	searchsight	ghidra-export	same binary, address-keyed	?	?
80086b94	MOTcommon	ghidra-export	same binary, address-keyed	EXT	struct MotionRegistType [41]
80089aac	WeaponDB	datamatch	VOTES2	EXT	struct WeaponType [28]
80089f20	pnt	ghidra-export	same binary, address-keyed	?	?
80089fe0	pat	ghidra-export	same binary, address-keyed	?	?
80089ff0	sprFrame	ghidra-export	same binary, address-keyed	STAT	struct GsSPRITE [4]
8008dbec	WorldMap	ghidra-export	same binary, address-keyed	EXT	struct WorldType [8][8][8]
8008e6cc	SpriteData	ghidra-export	same binary, address-keyed	EXT	struct MISC__185fake [2]
8008e6dc	StageChar	ghidra-export	same binary, address-keyed	STAT	struct StageCharType [18]
80097698	_gp	ghidra-export	same binary, address-keyed	?	?
800976bc	time	ghidra-export	same binary, address-keyed	?	?
800976c0	voice	ghidra-export	same binary, address-keyed	?	?
800976c4	ReadMode	datamatch	VOTES4	STAT	int
800976cc	MemoryLoadAddress	datamatch	VOTES2	EXT	unsigned long *
800976fc	CommonMotion	ghidra-export	same binary, address-keyed	EXT	struct MotionPackType *
80097704	StageMotion	ghidra-export	same binary, address-keyed	EXT	struct MotionPackType *
80097710	MotionUpdateMode	ghidra-export	same binary, address-keyed	EXT	short
